"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","change","symbol","ENTREZID"
0.518900234482322,0.185735129011971,0.079,0.073,1,"stable","Tusc1","69136"
0.518942080548536,-0.144205125663004,0.307,0.29,1,"stable","Cttnbp2nl","80281"
0.518961946526517,0.489980095845496,0.041,0.036,1,"stable","Sct","20287"
0.519339002650627,-0.105960807319193,0.156,0.148,1,"stable","Gm2a","14667"
0.519472688524403,0.165728519643809,0.02,0.016,1,"stable","Crppa","75847"
0.519672590124085,-0.294086972730417,0.282,0.29,1,"stable","Rnpepl1","108657"
0.519801103380991,0.574823368944744,0.076,0.07,1,"stable","Fam3c","27999"
0.519859082608827,-0.298608307764092,0.464,0.461,1,"stable","Luzp1","269593"
0.520290946814724,-0.196815951081759,0.294,0.3,1,"stable","Marveld3","73608"
0.520305414240422,0.108735847405769,0.194,0.204,1,"stable","Hivep1","110521"
0.520333931782238,0.26059113274225,0.087,0.081,1,"stable","Zmat3","22401"
0.520499097956116,0.125678365687165,0.091,0.084,1,"stable","Rundc1","217201"
0.520658824411009,-0.88513762074881,0.025,0.029,1,"stable","Ttc36","192653"
0.520682401610523,-0.510472488144397,0.009,0.011,1,"stable","BC028528","229600"
0.5206917426005,0.377752516216623,0.065,0.059,1,"stable","Gemin8","237221"
0.52135038586516,0.299251556057123,0.111,0.104,1,"stable","Tbc1d9b","76795"
0.521623202703799,-0.760273092621573,0.009,0.011,1,"stable","Tnnc1","21924"
0.52183699643214,0.120968919599694,0.053,0.047,1,"stable","Rdh9","103142"
0.521870005160559,0.114172066418371,0.049,0.055,1,"stable","Zfp667","384763"
0.521913062417515,-0.165711013409549,0.13,0.121,1,"stable","L3mbtl3","237339"
0.521999767858243,-0.360790998467617,0.009,0.011,1,"stable","Rom1","19881"
0.522089234186591,-0.222398825439071,0.476,0.47,1,"stable","Nfe2l1","18023"
0.522089919198881,-0.857578198812115,0.035,0.03,1,"stable","Fas","14102"
0.522316368321058,-0.1721957869318,0.333,0.318,1,"stable","Tox4","268741"
0.522589583721354,-0.178386445172898,0.391,0.393,1,"stable","Mycbp2","105689"
0.522678805128213,0.104565091965034,0.156,0.17,1,"stable","Mfap1a","67532"
0.523012555652964,-0.18703761735715,0.102,0.095,1,"stable","Rad51d","19364"
0.523024535903249,-0.357193553066751,0.035,0.03,1,"stable","Xrcc2","57434"
0.523098943217957,-0.671097952956135,0.124,0.132,1,"stable","Ces2e","234673"
0.523464982990983,0.166815621884961,0.062,0.056,1,"stable","Zbtb26","320633"
0.523540991042021,-0.22754346958326,0.361,0.34,1,"stable","Irf2bpl","238330"
0.523673548505635,-0.223908657189224,0.147,0.138,1,"stable","Dip2a","64451"
0.523681474297087,-0.126654571300131,0.093,0.085,1,"stable","Ppp2r1b","73699"
