cpd_id	BC_0d_1	BC_0d_2	BC_0d_3	BC_0d_4	BC_3d_1	BC_3d_2	BC_3d_3	BC_3d_4	Veh_0d_1	Veh_0d_2	Veh_0d_3	Veh_0d_4	Veh_3d_1	Veh_3d_2	Veh_3d_3	Veh_3d_4
HMDB0000044	0.005189655	0.005970833	0.004391159	0.004034027	0.00860333	0.006880519	0.004405844	0.0096222	0.004892701	0.008510236	0.004534574	0.0048202	0.006829767	0.0045766	0.004421918	0.010443387
HMDB0000045	1.037467332	2.327673611	0.648557564	1.560849231	1.466612026	1.40434026	0.959399811	0.9944592	1.031152417	1.565934449	1.074844858	1.0140284	1.147001751	0.8040494	0.697320548	1.107117602
HMDB0000048	0.005302722	0.0083875	3.62E-06	0.006910045	0.006459944	4.33E-06	0.006043355	0.0063336	0.005769858	0.00646811	3.78E-06	4.07E-06	4.93E-06	0.0062496	1.20E-06	0.005557374
HMDB0000058	4.080720508	4.603809722	2.300752849	3.999987511	3.212020907	2.434019481	5.888558341	2.7438096	1.68495109	4.291599409	1.675938492	2.3826362	2.040942607	2.9970906	1.581431507	2.632511513
HMDB0000060	22.08157368	35.92116528	21.78663772	30.07725665	35.95289491	18.65127143	21.25173742	7.4091934	18.06444948	33.22546555	24.95833203	35.18648	21.34206712	26.2947846	13.90483288	7.553646051
HMDB0000062	0.303027586	0.376176389	0.303758743	0.350285068	0.460391489	0.295019481	0.255936098	0.2593444	0.217448531	0.239284252	0.213794123	0.2943052	0.492297471	0.3000536	0.326632877	0.283595243
HMDB0000064	113.3655717	87.91834306	113.1022291	67.45462389	113.3183817	76.73723636	74.41849105	58.9314544	74.76236076	92.04483406	75.54131518	114.8287588	97.99431012	49.6149108	96.36303151	78.42460457
HMDB0000072	1.499011252	1.150013889	1.45275442	1.240482353	1.900829602	1.213461039	1.258192271	0.9119404	0.799833934	0.76602874	0.629644858	1.492568	1.603674125	1.042608	1.126830137	1.020362892
HMDB0000082	0.095391833	0.177575	0.071859332	0.120549502	0.130350231	0.113331169	0.069493308	0.076958	0.100744265	0.098318307	0.082284623	0.081536	0.102521401	0.0700308	0.07869726	0.105684681
HMDB0000092	0.031594011	0.029433333	3.32E-06	0.030593484	0.022640888	0.027523377	0.014292931	1.87E-06	2.95E-06	0.019628937	0.000001757	0.0224294	0.035608755	2.08E-06	0.02669589	0.036782303
